"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"TBCA__V__QI11631","TBCA","QI11631",0.0760243145393407,1.4003006001888e-05,0.0267409685262185,0.125408467517071
"MGC15763__V__QI11631","MGC15763","QI11631",0.0763162472187047,3.27448311920232e-05,0.0393826818623816,0.116933056826549
"NDUFS5__V__QI11631","NDUFS5","QI11631",0.0763710137497833,4.19957229421561e-06,0.0151013962060213,0.129645167454176
"PRKAG2__V__TF17","PRKAG2","TF17",0.0766586697306055,4.10518993070017e-05,0.043697634495949,0.195859259188221
"RPS9__V__TF02","RPS9","TF02",0.0769668993854094,2.02981768497842e-05,0.0317105062929734,0.107277225134236
"TMEM205__V__QI5972","TMEM205","QI5972",0.0770766959426689,1.13204701270589e-05,0.0242831932466101,0.174718212326878
"DDIT4__V__TF16.2","DDIT4","TF16.2",0.0771457110667901,1.21291721797966e-05,0.0250107350559116,0.15230748413991
"RBM12B__V__QI9128","RBM12B","QI9128",0.0775875450512615,1.40164763850937e-06,0.00903896750148158,0.157763969963729
"PTPN12__V__TF16.2","PTPN12","TF16.2",0.0778716082779582,3.28185905684063e-05,0.0394320242968445,0.150477243645347
"TMEM106B__V__TF16.2","TMEM106B","TF16.2",0.0779675721239282,4.58936546812593e-05,0.0459950647563942,0.15030781588786
"LOC646483__V__QI8347","LOC646483","QI8347",0.078206127293635,1.68546995218036e-05,0.0290171756754286,0.104190224750278
"SGK1__V__TF16.2","SGK1","TF16.2",0.0784536080854592,3.78939387154917e-06,0.0145226808843268,0.155097846044459
"ANKRA2__V__QI5972","ANKRA2","QI5972",0.0785525853555426,3.32215707780929e-05,0.0396748222030702,0.172261656276686
"KIAA0125__V__TF25.2","KIAA0125","TF25.2",0.078712713381876,7.87066137115417e-06,0.0206609371744465,0.10423519384154
"RPAIN__V__QI11631","RPAIN","QI11631",0.078762048035818,3.76588907944276e-05,0.0420399972346681,0.120826302206777
"ACER3__V__TF17","ACER3","TF17",0.0787849703555352,3.51956491327057e-05,0.0407830362990031,0.193960366633334
"HEATR3__V__TF17","HEATR3","TF17",0.078798672146733,2.92224463746609e-06,0.0127421169954483,0.202381745003239
"STXBP3__V__TF16.2","STXBP3","TF16.2",0.0791620966252312,3.27266282200965e-05,0.0393791181620378,0.151809346557043
"NRBF2__V__TF16.2","NRBF2","TF16.2",0.0792045001328376,1.03888651813061e-05,0.0233683041466304,0.159673421496694
"CYBRD1__V__TF16.2","CYBRD1","TF16.2",0.0792520528725001,3.3520250974911e-05,0.0398411944660909,0.152404682520406
"PELI1__V__TF16.2","PELI1","TF16.2",0.0794291128390326,1.75403176059092e-05,0.0294696613004203,0.155818945643268
"LBH__V__TF17","LBH","TF17",0.0796767302505728,4.31334769362956e-05,0.0447036027475131,0.191682882441992
"ZNF185__V__TF16.2","ZNF185","TF16.2",0.0798282728577654,1.18149800284237e-05,0.0247526667190683,0.151576498960785
"SFXN1__V__TF17","SFXN1","TF17",0.0799448557563774,5.64231774919965e-06,0.0175450564858404,0.199422663891367
"RPL12__V__QI11631","RPL12","QI11631",0.0799540467632172,8.46711968475165e-07,0.00687782933007121,0.14166810664189
"PPP1R2__V__TF16.2","PPP1R2","TF16.2",0.0801948290106543,3.37204328583982e-05,0.0399223014978097,0.155703248934789
"CTNNA1__V__TF16.2","CTNNA1","TF16.2",0.080248586042702,1.1171924892517e-05,0.0241141985239415,0.156772210850401
"PID1__V__QI5972","PID1","QI5972",0.0802649275441018,4.97961436877364e-05,0.0477312880059117,0.167244427602479
"APH1A__V__QI9128","APH1A","QI9128",0.0805135521057289,1.75044375128105e-05,0.0294436420011412,0.148895938950355
"LYPLA1__V__TF17","LYPLA1","TF17",0.0805422567791644,1.21220080489628e-05,0.0250008465241269,0.196403305267181
"MGC52282__V__QI7576","MGC52282","QI7576",0.0806967884841566,3.88667319017272e-05,0.0426099707584309,0.113261616906345
"LOC100130229__V__QI9128","LOC100130229","QI9128",0.0807803303760461,7.27647185727968e-06,0.0199511131612672,0.15122251030104
"GMCL1__V__QI9128","GMCL1","QI9128",0.0808032289573314,1.21223012696773e-05,0.0250008465241269,0.149642425337467
"FAM107B__V__QI9128","FAM107B","QI9128",0.0808291603049634,4.13731243044225e-05,0.043869087945014,0.149910203543708
"ARHGEF18__V__TF25.2","ARHGEF18","TF25.2",0.0809269237736531,2.64399528850909e-05,0.0357298371786987,0.105173827896672
"C11orf1__V__QI11631","C11orf1","QI11631",0.0810396415639854,6.70226094726662e-06,0.0191817105790349,0.126603944465416
"WDR36__V__QI11631","WDR36","QI11631",0.0811764339051669,5.17108185833553e-05,0.0484844788646255,0.118047823866957
"TSPAN3__V__TF25.2","TSPAN3","TF25.2",0.0812803747087313,9.07220875393594e-06,0.0219761404920388,0.104889037150231
"AHCTF1__V__TF16.2","AHCTF1","TF16.2",0.0814191905846324,2.8922217964819e-05,0.0373518649365302,0.149906879475477
"GMEB1__V__TF17","GMEB1","TF17",0.0814430152587576,2.16151473925463e-05,0.0326068910576463,0.194970436816598
"LOC284821__V__QI11631","LOC284821","QI11631",0.0817693386131433,8.40708018776735e-06,0.0212851933352161,0.132166391522648
"TMEM55A__V__TF16.2","TMEM55A","TF16.2",0.0818467728999796,2.61976860458168e-05,0.0355912361351185,0.149858701075318
"IFNAR2__V__TF02","IFNAR2","TF02",0.0819545111338659,2.4195528186883e-05,0.0343713113684114,0.10626806458502
"BLK__V__QI9128","BLK","QI9128",0.0821917217389962,3.40641932249625e-05,0.0401281526007109,0.149187237657226
"CHMP1B__V__TF16.2","CHMP1B","TF16.2",0.0822542411223151,1.68988218175694e-05,0.029052342565621,0.155408477842759
"MGAM__V__TF16.2","MGAM","TF16.2",0.0822727045080031,2.07924359172655e-05,0.0320643301969944,0.147773255520371
"SYNJ2BP__V__QI9128","SYNJ2BP","QI9128",0.0822829446268063,1.30272055137503e-05,0.0258620257373724,0.150289914969043
"DNAJB6__V__TF16.2","DNAJB6","TF16.2",0.082333237813363,1.66264742777632e-05,0.028872561658059,0.152807638142948
"HM13__V__QI9128","HM13","QI9128",0.0824691439739683,1.98967277100331e-05,0.0314174468377783,0.147830682928541
"MEF2C__V__TF02","MEF2C","TF02",0.082560020178063,1.49385402968882e-05,0.027553851223013,0.113952456716459
"TMEM8__V__TF16.2","TMEM8","TF16.2",0.0827486812278092,3.77244233236998e-05,0.0420663741954584,0.153479646512157
"HSPA1B__V__TF16.2","HSPA1B","TF16.2",0.0827506222108758,8.02855234037729e-06,0.0208078865254933,0.157721963354119
"ZMIZ1__V__TF16.2","ZMIZ1","TF16.2",0.0827804191884325,2.44760597249487e-05,0.0345093143756026,0.155350028222361
"PLDN__V__TF17","PLDN","TF17",0.0829800237089789,3.29754333437914e-05,0.0395210385187122,0.194533734420295
"NAPSA__V__QI9128","NAPSA","QI9128",0.082987512473672,1.70237459475361e-05,0.0291465266517978,0.144099516399304
"CACNA2D3__V__QI5972","CACNA2D3","QI5972",0.0832045341953508,2.50520920770868e-05,0.0348927299540193,0.170038610452152
"GNPTAB__V__QI11631","GNPTAB","QI11631",0.0833371050258256,2.49298344608749e-05,0.0347927387486488,0.123499022009057
"ALCAM__V__TF16.2","ALCAM","TF16.2",0.0834354879388781,1.29599093311943e-05,0.0258116788551772,0.153773055338928
