"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
,,20,N/A,N/A,N/A,N/A,0.75,1
,,21,N/A,N/A,N/A,N/A,0.88,1
,,22,N/A,N/A,N/A,N/A,0.65,1
,,Mean,N/A,N/A,N/A,N/A,0.83,1
,,Stdev,N/A,N/A,N/A,N/A,0.09,0
,Magnitude,1,N/A,N/A,N/A,N/A,0.83,1
,,2,N/A,N/A,N/A,N/A,0.88,1
,,3,N/A,N/A,N/A,N/A,0.9,1
,,4,N/A,N/A,N/A,N/A,0.93,1
,,5,N/A,N/A,N/A,N/A,0.9,1
,,6,N/A,N/A,N/A,N/A,0.87,1
,,7,N/A,N/A,N/A,N/A,0.88,1
,,8,N/A,N/A,N/A,N/A,0.9,1
,,9,N/A,N/A,N/A,N/A,0.85,1
,,10,N/A,N/A,N/A,N/A,0.86,1
,,11,N/A,N/A,N/A,N/A,0.84,1
,,12,N/A,N/A,N/A,N/A,0.86,1
,,13,N/A,N/A,N/A,N/A,0.93,1
,,14,N/A,N/A,N/A,N/A,0.86,1
,,15,N/A,N/A,N/A,N/A,0.85,1
,,16,N/A,N/A,N/A,N/A,0.77,1
,,17,N/A,N/A,N/A,N/A,0.71,1
,,18,N/A,N/A,N/A,N/A,0.89,1
,,19,N/A,N/A,N/A,N/A,0.63,1
,,20,N/A,N/A,N/A,N/A,0.76,1
,,21,N/A,N/A,N/A,N/A,0.88,1
,,22,N/A,N/A,N/A,N/A,0.67,1
,,Mean,N/A,N/A,N/A,N/A,0.84,1
,,Stdev,N/A,N/A,N/A,N/A,0.08,0
,SOM-VN (RPKM > 5),1,N/A,N/A,N/A,N/A,0.84,1
,,2,N/A,N/A,N/A,N/A,0.89,1
,,3,N/A,N/A,N/A,N/A,0.9,1
,,4,N/A,N/A,N/A,N/A,0.93,1
,,5,N/A,N/A,N/A,N/A,0.89,1
,,6,N/A,N/A,N/A,N/A,0.88,1
,,7,N/A,N/A,N/A,N/A,0.89,1
,,8,N/A,N/A,N/A,N/A,0.9,1
,,9,N/A,N/A,N/A,N/A,0.85,1
,,10,N/A,N/A,N/A,N/A,0.86,1
,,11,N/A,N/A,N/A,N/A,0.85,1
,,12,N/A,N/A,N/A,N/A,0.86,1
,,13,N/A,N/A,N/A,N/A,0.92,1
,,14,N/A,N/A,N/A,N/A,0.86,1
,,15,N/A,N/A,N/A,N/A,0.85,1
,,16,N/A,N/A,N/A,N/A,0.77,1
,,17,N/A,N/A,N/A,N/A,0.72,1
,,18,N/A,N/A,N/A,N/A,0.89,1
,,19,N/A,N/A,N/A,N/A,0.6,1
,,20,N/A,N/A,N/A,N/A,0.76,1
,,21,N/A,N/A,N/A,N/A,0.88,1
,,22,N/A,N/A,N/A,N/A,0.67,1
,,Mean,N/A,N/A,N/A,N/A,0.84,1
,,Stdev,N/A,N/A,N/A,N/A,0.08,0
,,Difference,N/A,N/A,N/A,N/A,0.01,0
Brain (H),SOM-VN,1,0.56,0.36,0.4,0.32,0.82,0.9
,,2,0.47,0.31,0.36,0.33,0.86,0.9
,,3,0.49,0.35,0.29,0.31,0.88,0.9
,,4,0.44,0.33,0.25,0.34,0.92,0.9
,,5,0.49,0.32,0.32,0.33,0.88,0.9
,,6,0.58,0.35,0.31,0.29,0.87,0.91
,,7,0.51,0.34,0.35,0.33,0.86,0.9
,,8,0.43,0.31,0.33,0.31,0.87,0.9
,,9,0.48,0.37,0.39,0.32,0.84,0.89
,,10,0.43,0.28,0.38,0.31,0.82,0.89
,,11,0.51,0.34,0.43,0.33,0.82,0.91
,,12,0.55,0.38,0.36,0.33,0.85,0.9
,,13,0.39,0.31,0.26,0.34,0.91,0.89
,,14,0.54,0.38,0.37,0.33,0.84,0.89
,,15,0.57,0.39,0.37,0.32,0.82,0.88
,,16,0.54,0.34,0.45,0.3,0.74,0.88
,,17,0.63,0.3,0.49,0.3,0.68,0.9
,,18,0.42,0.27,0.31,0.31,0.86,0.89
,,19,0.46,0.21,0.32,0.28,0.53,0.73
,,20,0.53,0.3,0.51,0.32,0.72,0.89
,,21,0.45,0.35,0.33,0.33,0.87,0.89
,,22,0.44,0.32,0.59,0.35,0.63,0.86
,,Mean,0.5,0.33,0.37,0.32,0.81,0.89
,,Stdev,0.06,0.04,0.08,0.02,0.1,0.04
,Magnitude,1,0.09,1,N/A,N/A,N/A,N/A
,,2,0.06,1,N/A,N/A,N/A,N/A
,,3,0.06,1,N/A,N/A,N/A,N/A
,,4,0.05,1,N/A,N/A,N/A,N/A
,,5,0.06,1,N/A,N/A,N/A,N/A
,,6,0.07,1,N/A,N/A,N/A,N/A
,,7,0.07,1,N/A,N/A,N/A,N/A
,,8,0.05,1,N/A,N/A,N/A,N/A
,,9,0.07,1,N/A,N/A,N/A,N/A
,,10,0.08,1,N/A,N/A,N/A,N/A
,,11,0.08,1,N/A,N/A,N/A,N/A
,,12,0.08,1,N/A,N/A,N/A,N/A
,,13,0.05,1,N/A,N/A,N/A,N/A
,,14,0.08,1,N/A,N/A,N/A,N/A
